Date,HomeTeam,AwayTeam,FTHG,FTAG,home_form_last5,away_form_last5,home_goals_scored_last5,away_goals_scored_last5,home_goals_conceded_last5,away_goals_conceded_last5,home_goals_diff_last5,away_goals_diff_last5,home_win_rate_last5,away_win_rate_last5,head2head_form_last3,head2head_goal_diff_last3,FTR
2019-09-01,Waregem,Antwerp,2,0,1.4,2.25,1.0,2.75,1.4,1.0,-0.4,1.75,0.4,0.75,,,1
2019-09-01,Gent,Cercle brugge,3,2,1.75,0.6,2.5,0.8,1.0,2.2,1.5,-1.4,0.5,0.2,,,1
2019-09-13,Charleroi,Genk,2,1,1.6,1.4,1.8,1.4,1.2,1.2,0.6,0.2,0.4,0.4,,,1
2019-09-14,Oostende,Standard,1,4,1.4,1.8,1.4,2.2,1.6,1.0,-0.2,1.2,0.4,0.6,,,-1
2019-09-14,Eupen,Waregem,1,1,0.4,2.0,0.4,1.4,2.2,1.0,-1.8,0.4,0.0,0.6,,,0
2019-09-14,St truiden,Waasland-beveren,1,1,1.4,0.2,0.8,0.4,1.8,2.8,-1.0,-2.4,0.4,0.0,,,0
2019-09-14,Cercle brugge,Club brugge,0,2,0.6,2.2,1.2,2.4,2.4,0.4,-1.2,2.0,0.2,0.6,,,-1
2019-09-15,Gent,Mechelen,3,0,2.0,1.6,2.6,1.8,1.2,1.2,1.4,0.6,0.6,0.4,,,1
2019-09-15,Mouscron,Kortrijk,2,0,1.6,1.6,1.4,2.2,1.4,1.6,0.0,0.6,0.4,0.4,,,1
2019-09-15,Anderlecht,Antwerp,1,2,1.0,1.8,0.6,2.2,1.0,1.2,-0.4,1.0,0.2,0.6,,,-1
2019-09-20,Kortrijk,Mechelen,2,3,1.4,1.0,2.0,1.2,1.8,1.6,0.2,-0.4,0.4,0.2,,,-1
2019-09-21,Genk,Oostende,3,1,1.4,0.8,1.4,1.0,1.0,2.2,0.4,-1.2,0.4,0.2,,,1
2019-09-21,Antwerp,Cercle brugge,3,1,1.8,0.6,1.8,1.0,1.2,2.2,0.6,-1.2,0.6,0.2,,,1
2019-09-21,Charleroi,St truiden,0,3,2.0,1.6,2.0,1.0,1.2,0.8,0.8,0.2,0.6,0.4,,,-1
2019-09-21,Waasland-beveren,Mouscron,1,1,0.4,2.0,0.4,1.8,2.2,1.4,-1.8,0.4,0.0,0.6,,,0
2019-09-22,Waregem,Gent,2,2,2.2,2.4,1.6,3.0,0.4,1.0,1.2,2.0,0.6,0.8,,,0
2019-09-22,Club brugge,Anderlecht,2,1,2.2,0.8,2.2,0.8,0.2,1.4,2.0,-0.6,0.6,0.2,,,1
